index	label	cifti_label	color_red	color_green	color_blue	opacity
107	PhG_L_6_3	PhG_L_6_3	185	193	220	255
108	PhG_R_6_3	PhG_R_6_3	79	97	176	255
109	PhG_L_6_4	PhG_L_6_4	88	0	53	255
110	PhG_R_6_4	PhG_R_6_4	193	79	97	255
111	PhG_L_6_5	PhG_L_6_5	70	53	123	255
112	PhG_R_6_5	PhG_R_6_5	220	193	53	255
113	PhG_L_6_6	PhG_L_6_6	185	167	149	255
114	PhG_R_6_6	PhG_R_6_6	220	97	229	255
115	pSTS_L_2_1	pSTS_L_2_1	141	123	70	255
116	pSTS_R_2_1	pSTS_R_2_1	0	141	185	255
117	pSTS_L_2_2	pSTS_L_2_2	9	62	211	255
118	pSTS_R_2_2	pSTS_R_2_2	114	106	229	255
119	SPL_L_4_1	SPL_L_4_1	0	149	0	255
120	SPL_R_4_1	SPL_R_4_1	44	9	18	255
121	SPL_L_4_2	SPL_L_4_2	193	79	44	255
122	SPL_R_4_2	SPL_R_4_2	255	193	132	255
123	SPL_L_4_3	SPL_L_4_3	44	44	53	255
124	SPL_R_4_3	SPL_R_4_3	53	220	255	255
125	SPL_L_4_4	SPL_L_4_4	185	0	255	255
126	SPL_R_4_4	SPL_R_4_4	0	158	141	255
127	IPL_L_6_1	IPL_L_6_1	106	176	149	255
128	IPL_R_6_1	IPL_R_6_1	35	0	202	255
129	IPL_L_6_2	IPL_L_6_2	211	220	123	255
130	IPL_R_6_2	IPL_R_6_2	123	53	0	255
131	IPL_L_6_3	IPL_L_6_3	167	0	211	255
132	IPL_R_6_3	IPL_R_6_3	18	79	114	255
133	IPL_L_6_4	IPL_L_6_4	9	79	62	255
134	IPL_R_6_4	IPL_R_6_4	246	158	255	255
135	IPL_L_6_5	IPL_L_6_5	114	176	211	255
136	IPL_R_6_5	IPL_R_6_5	106	62	53	255
137	IPL_L_6_6	IPL_L_6_6	53	106	53	255
138	IPL_R_6_6	IPL_R_6_6	220	62	185	255
139	PCun_L_4_1	PCun_L_4_1	0	202	70	255
140	PCun_R_4_1	PCun_R_4_1	62	44	79	255
141	PCun_L_4_2	PCun_L_4_2	246	9	132	255
142	PCun_R_4_2	PCun_R_4_2	185	149	202	255
143	PCun_L_4_3	PCun_L_4_3	220	18	18	255
